region,season,exposure,claims,actual,expected,OE,OE_filtered
7,summer,92.0,6,703482.0,244894.20627221605,2.8725955207696234,2.8725955207696234
13,summer,118.0,5,709682.0,309741.9082317664,2.2912043257284247,2.2912043257284247
24,shoulder,180.0,5,524069.0,150850.16042310846,3.474103033964814,3.474103033964814
39,summer,120.0,6,461888.0,315609.13651720725,1.4634810801011697,1.4634810801011697
54,summer,112.0,9,1193553.0,469274.9586756222,2.5433980184419385,2.5433980184419385
58,summer,88.0,7,876214.0,290580.6863394982,3.0153896703798155,3.0153896703798155
63,summer,104.0,5,468903.0,170014.68244538712,2.7580147388189435,2.7580147388189435
89,summer,146.0,5,526591.0,638754.3605008768,0.824402982685043,0.824402982685043
97,summer,84.0,5,745953.0,214218.7213779164,3.4822026534460475,3.4822026534460475
